Player Name,Team,PPG (reg. season),Team Seed,KenPom Rank,Adj. O (KP),Adj. D (KP),,Total Points in Tourney,Total GP in Tourney
Drew Timme,Gonzaga,18.4,1,1,120.7,89.7,,82,3
Chet Holmgren,Gonzaga,14.1,1,1,120.7,89.7,,39,3
Andrew Nembhard,Gonzaga,11.8,1,1,120.7,89.7,,39,3
Julian Strawther,Gonzaga,11.8,1,1,120.7,89.7,,28,3
Rasir Bolton,Gonzaga,11.2,1,1,120.7,89.7,,35,3
A. Flagler,Baylor,13.8,1,4,118,91,,45,2
J. Akinjo,Baylor,13.5,1,4,118,91,,20,2
L.J. Cryer,Baylor,13.5,1,4,118,91,,7,2
M. Mayer,Baylor,9.8,1,4,118,91,,10,2
K. Brown,Baylor,9.7,1,4,118,91,,6,2
B. Mathurin,Arizona,17.7,1,5,118.6,92.6,,63,3
A. Tubelis,Arizona,13.9,1,5,118.6,92.6,,20,3
C. Koloko,Arizona,12.6,1,5,118.6,92.6,,55,3
K. Kriisa,Arizona,9.7,1,5,118.6,92.6,,6,3
D. Terry,Arizona,8,1,5,118.6,92.6,,38,3
O. Agbaji,Kansas,18.8,1,3,119.2,91.7,,82,6
C. Braun,Kansas,14.1,1,3,119.2,91.7,,67,6
J. Wilson,Kansas,11.1,1,3,119.2,91.7,,72,6
D. McCormack,Kansas,10.6,1,3,119.2,91.7,,79,6
R. Martin,Kansas,8.6,1,3,119.2,91.7,,84,6
Paulo Banchero,Duke,17.2,2,8,121.1,95.9,,94,5
Wendell Moore Jr.,Duke,13.4,2,8,121.1,95.9,,64,5
Trevor Keels,Duke,11.5,2,8,121.1,95.9,,46,5
Mark Williams,Duke,11.2,2,8,121.1,95.9,,66,5
AJ Griffin,Duke,10.4,2,8,121.1,95.9,,52,5
O. Tshiebwe,Kentucky,17.4,2,6,120,94.3,,30,1
T. Washington Jr.,Kentucky,12.5,2,6,120,94.3,,5,1
K. Grady,Kentucky,11.4,2,6,120,94.3,,8,1
K. Brooks Jr.,Kentucky,10.8,2,6,120,94.3,,8,1
S. Wheeler,Kentucky,10.1,2,6,120,94.3,,11,1
C. Gillespie,Villanova,15.6,2,10,117.5,92.9,,69,5
J. Moore,Villanova,14.8,2,10,117.5,92.9,,52,5
J. Samuels Jr.,Villanova,11.1,2,10,117.5,92.9,,79,5
C. Daniels,Villanova,10.3,2,10,117.5,92.9,,57,5
E. Dixon,Villanova,9.1,2,10,117.5,92.9,,44,5
J. Broome,Auburn,16.9,2,12,112.7,89.5,,0,2
K.D. Johnson,Auburn,12.3,2,12,112.7,89.5,,22,2
W. Green Jr.,Auburn,12,2,12,112.7,89.5,,20,2
W. Kessler,Auburn,11.4,2,12,112.7,89.5,,15,2
A. Flanigan,Auburn,6.3,2,12,112.7,89.5,,15,2
B. Williams,Texas Tech,14.1,3,7,110.7,85,,55,3
T. Shannon Jr.,Texas Tech,10.4,3,7,110.7,85,,31,3
K. McCullar Jr.,Texas Tech,10.1,3,7,110.7,85,,41,3
K. Obanor,Texas Tech,10,3,7,110.7,85,,35,3
D. Warren,Texas Tech,9.4,3,7,110.7,85,,12,3
J. Ivey,Purdue,17.3,3,14,121,98.6,,49,3
Z. Edey,Purdue,14.1,3,14,121,98.6,,38,3
T. Williams,Purdue,12,3,14,121,98.6,,46,3
S. Stefanovic,Purdue,10.4,3,14,121,98.6,,21,3
M. Gillis,Purdue,6.4,3,14,121,98.6,,16,3
K. Chandler,Tennessee,13.9,3,9,111.5,86.4,,32,2
S. Vescovi,Tennessee,13.3,3,9,111.5,86.4,,23,2
J. James,Tennessee,10.3,3,9,111.5,86.4,,30,2
Z. Zeigler,Tennessee,8.8,3,9,111.5,86.4,,18,2
O. Nkamhoua,Tennessee,8.6,3,9,111.5,86.4,,0,2
J. Davis,Wisconsin,19.7,3,37,109.3,94,,42,2
B. Davison,Wisconsin,14.1,3,37,109.3,94,,16,2
T. Wahl,Wisconsin,11.4,3,37,109.3,94,,23,2
S. Crowl,Wisconsin,8.8,3,37,109.3,94,,7,2
C. Hepburn,Wisconsin,7.9,3,37,109.3,94,,8,2
J. Notae,Arkansas,18.3,4,18,109.9,90.4,,70,4
S. Umude,Arkansas,11.9,4,18,109.9,90.4,,50,4
J. Williams,Arkansas,10.9,4,18,109.9,90.4,,57,4
A. Toney,Arkansas,10.5,4,18,109.9,90.4,,26,4
D. Davis,Arkansas,8.3,4,18,109.9,90.4,,31,4
J. Juzang,UCLA,15.6,4,11,115.9,91.7,,33,3
J. Jaquez Jr.,UCLA,13.9,4,11,115.9,91.7,,40,3
J. Bernard,UCLA,12.8,4,11,115.9,91.7,,40,3
T. Campbell,UCLA,11.9,4,11,115.9,91.7,,47,3
C. Riley,UCLA,7.3,4,11,115.9,91.7,,15,3
K. Cockburn,Illinois,20.9,4,20,112,93.3,,36,2
A. Plummer,Illinois,14.6,4,20,112,93.3,,23,2
T. Frazier,Illinois,11.6,4,20,112,93.3,,10,2
J. Grandison,Illinois,9.6,4,20,112,93.3,,0,2
A. Curbelo,Illinois,7.5,4,20,112,93.3,,5,2
A. Durham,Providence,13.6,4,32,111.5,95.6,,47,3
N. Watson,Providence,13.3,4,32,111.5,95.6,,24,3
J. Bynum,Providence,12.2,4,32,111.5,95.6,,24,3
N. Horchler,Providence,9.9,4,32,111.5,95.6,,39,3
A.J. Reeves,Providence,9.9,4,32,111.5,95.6,,27,3
R.J. Cole,UConn,15.8,5,22,113.8,95.3,,20,1
A. Sanogo,UConn,14.8,5,22,113.8,95.3,,10,1
T. Martin,UConn,13.6,5,22,113.8,95.3,,9,1
M. Tass,Saint Mary's,12.6,5,17,110.1,90.6,,26,2
T. Kuhse,Saint Mary's,12.2,5,17,110.1,90.6,,30,2
L. Johnson,Saint Mary's,11.9,5,17,110.1,90.6,,38,2
M. Sasser,Houston,17.7,5,2,116.8,89.1,,0,4
K. Edwards,Houston,13.8,5,2,116.8,89.1,,63,4
F. White Jr.,Houston,12.5,5,2,116.8,89.1,,26,4
K. Murray,Iowa,23.5,5,13,120.5,97.8,,21,1
J. Bohannon,Iowa,11,5,13,120.5,97.8,,6,1
P. McCaffery,Iowa,10.5,5,13,120.5,97.8,,18,1
J. Shackleford,Alabama,16.6,6,28,115.2,98.6,,13,1
J. Quinerly,Alabama,13.8,6,28,115.2,98.6,,0,1
K. Ellis,Alabama,12.1,6,28,115.2,98.6,,16,1
T. Allen,Texas,12.1,6,15,112.5,91.6,,16,2
M. Carr,Texas,11.4,6,15,112.5,91.6,,38,2
A. Jones,Texas,11.2,6,15,112.5,91.6,,38,2
D. Roddy,Colorado St.,19.2,6,46,112.9,98.4,,13,1
I. Stevens,Colorado St.,14.7,6,46,112.9,98.4,,8,1
J. Tonje,Colorado St.,9.1,6,46,112.9,98.4,,2,1
T. Eason,LSU,16.9,6,21,107.3,88.7,,18,1
D. Days,LSU,13.7,6,21,107.3,88.7,,14,1
B. Murray,LSU,10,6,21,107.3,88.7,,8,1
G. Brown,Michigan St.,11.6,7,42,111.9,97.1,,30,2
M. Bingham Jr.,Michigan St.,9.3,7,42,111.9,97.1,,22,2
M. Christie,Michigan St.,9.3,7,42,111.9,97.1,,11,2
K. Williams,Murray St.,18,7,36,111.5,96.1,,30,2
T. Brown,Murray St.,16.8,7,36,111.5,96.1,,31,2
J. Hill,Murray St.,13.4,7,36,111.5,96.1,,34,2
E.J. Liddell,Ohio St.,19.4,7,31,115.5,99.3,,33,2
M. Branham,Ohio St.,13.7,7,31,115.5,99.3,,37,2
K. Young,Ohio St.,8.2,7,31,115.5,99.3,,15,2
I. Mobley,USC,14.2,7,47,109.8,95.6,,11,1
B. Ellis,USC,12.5,7,47,109.8,95.6,,3,1
D. Peterson,USC,12.4,7,47,109.8,95.6,,17,1
A. Kigab,Boise St.,14.8,8,39,107.5,92.4,,20,1
M. Shaver,Boise St.,13.3,8,39,107.5,92.4,,4,1
E. Akot,Boise St.,10.6,8,39,107.5,92.4,,7,1
A. Bacot,North Carolina,16.3,8,16,114.4,94.3,,92,6
C. Love,North Carolina,15.9,8,16,114.4,94.3,,113,6
B. Manek,North Carolina,15.1,8,16,114.4,94.3,,113,6
J. Rhoden,Seton Hall,15.5,8,52,107.1,93.5,,5,1
B. Aiken,Seton Hall,14.5,8,52,107.1,93.5,,0,1
M. Cale,Seton Hall,9.8,8,52,107.1,93.5,,11,1
M. Bradley,San Diego St.,16.9,8,25,103.4,86.3,,16,1
T. Pulliam,San Diego St.,8.7,8,25,103.4,86.3,,14,1
L. Butler,San Diego St.,7.3,8,25,103.4,86.3,,3,1
J. Duren,Memphis,12,9,24,111.2,94,,17,2
D. Williams,Memphis,11.1,9,24,111.2,94,,28,2
L. Quinones,Memphis,10,9,24,111.2,94,,18,2
J. Lewis,Marquette,16.8,9,56,109.2,96.2,,6,1
D. Morsell,Marquette,13.4,9,56,109.2,96.2,,11,1
K. Jones,Marquette,7.4,9,56,109.2,96.2,,3,1
M. Miles Jr.,TCU,15.4,9,26,108.7,91.7,,41,2
D. Baugh,TCU,10.6,9,26,108.7,91.7,,20,2
E. Miller,TCU,10.3,9,26,108.7,91.7,,20,2
R. Hawkins,Creighton,13.8,9,50,105.9,92.2,,24,2
R. Kalkbrenner,Creighton,13.1,9,50,105.9,92.2,,16,2
A. O'Connell,Creighton,11.8,9,50,105.9,92.2,,31,2
F. Loyer,Davidson,16.1,10,40,116.8,101.9,,12,1
H. Lee,Davidson,15.8,10,40,116.8,101.9,,11,1
L. Brajkovic,Davidson,14.4,10,40,116.8,101.9,,18,1
J. Bouyea,San Francisco,17.3,10,23,110.5,93.1,,36,1
K. Shabazz,San Francisco,13.7,10,23,110.5,93.1,,3,1
Y. Massalski,San Francisco,13.5,10,23,110.5,93.1,,0,1
L. Williamson,Loyola Chicago,13.7,10,29,108.6,92.1,,4,1
B. Norris,Loyola Chicago,10.4,10,29,108.6,92.1,,14,1
R. Schwieger,Loyola Chicago,9.2,10,29,108.6,92.1,,8,1
K. McGusty,Miami (FL),17.8,10,41,113.9,99.1,,77,4
I. Wong,Miami (FL),15.3,10,41,113.9,99.1,,65,4
C. Moore,Miami (FL),12.4,10,41,113.9,99.1,,43,4
B. Wesley,Notre Dame,14.4,11,38,112.4,97.2,,29,2
D. Goodwin,Notre Dame,13.6,11,38,112.4,97.2,,17,2
P. Atkinson Jr.,Notre Dame,12.5,11,38,112.4,97.2,,18,2
