Player Name,Team,PPG (regular season),Team Seed,Team KenPom,Adj. O (KenPom),Adj. D (KenPom),,Total Points in Tourney,Total GP in Tourney
Marcus Sasser,Housten ,16.8,1,2,118.1,90.9,,41,3
Jarace Walker,Housten ,11.2,1,2,118.1,90.9,,39,3
Jamal Shead,Housten ,10.5,1,2,118.1,90.9,,38,3
Tramon Mark,Housten ,10.1,1,2,118.1,90.9,,44,3
J'Wan Roberts,Housten ,10,1,2,118.1,90.9,,19,3
Branodn Miller,Alabama,18.8,1,4,115.5,88,,19,3
Mark Sears,Alabama,12.5,1,4,115.5,88,,21,3
Noah Clowney,Alabama,9.8,1,4,115.5,88,,15,3
Jahvon Quinerly,Alabama,8.7,1,4,115.5,88,,31,3
Charles Bediako,Alabama,6.4,1,4,115.5,88,,28,3
Jalen Wilson,Kansas,20.1,1,9,114.6,91.8,,40,2
Gradey Dick,Kansas,14.1,1,9,114.6,91.8,,26,2
Kevin Mccullar JR,Kansas,10.7,1,9,114.6,91.8,,23,2
K.J Adams Jr,Kansas,10.6,1,9,114.6,91.8,,27,2
Dajuan Harris Jr,Kansas,8.9,1,9,114.6,91.8,,23,2
Zach Edey,Purdue ,22.3,1,7,117.7,94.5,,21,1
Flether Loyer,Purdue ,11,1,7,117.7,94.5,,13,1
Braden Smith,Purdue ,9.7,1,7,117.7,94.5,,7,1
Mason Gills,Purdue ,6.8,1,7,117.7,94.5,,10,1
Brandon Newman,Purdue ,6,1,7,117.7,94.5,,2,1
Azuolas Tubelis ,Arizona,19.8,2,11,118.2,96.3,,22,1
Oumar Ballo ,Arizona,14.2,2,11,118.2,96.3,,13,1
Courtney Ramey ,Arizona,10.5,2,11,118.2,96.3,,8,1
Pelle Larsson ,Arizona,9.9,2,11,118.2,96.3,,2,1
Kerr Kriisa ,Arizona,9.9,2,11,118.2,96.3,,3,1
Marcus Carr ,Texas,15.9,2,5,116.5,92.1,,62,4
Sir'Jabari Rice ,Texas,13,2,5,116.5,92.1,,67,4
Timmy Allen ,Texas,10.5,2,5,116.5,92.1,,40,4
Tyrese Hunter ,Texas,10.3,2,5,116.5,92.1,,47,4
Dylan Disu ,Texas,8.8,2,5,116.5,92.1,,45,3
Tyler Kolek ,Marquette,15.7,2,10,119.1,96.7,,15,2
