Player Name,Team,PPG (regular season),Team Seed,Team KenPom,Adj. O (KenPom),Adj. D (KenPom)
Tristen Newton,UConn,15.2,1,1,126.6,94.4
Cam Spencer,UConn,14.5,1,1,126.6,94.4
Stephon Castle,UConn,10.8,1,1,126.6,94.4
Alex Karaban,UConn,13.9,1,1,126.6,94.4
Donovan Clingan,UConn,10.8,1,1,126.6,94.4
Keshon Gilbert,Iowa State,13.8,2,5,113.9,87.1
Tamin Lipsey,Iowa State,12.3,2,5,113.9,87.1
Milan Momcilovic,Iowa State,11,2,5,113.9,87.1
Curtis Jones,Iowa State,10.5,2,5,113.9,87.1
Tre King,Iowa State,9.1,2,5,113.9,87.1
T. Shannon Jr.,Illinois,22.6,3,10,125.6,101.6
M. Domask,Illinois,15.7,3,10,125.6,101.6
C. Hawkins,Illinois,12.6,3,10,125.6,101.6
Q. Guerrier,Illinois,10.2,3,10,125.6,101.6
T. Rodgers,Illinois,6.7,3,10,125.6,101.6
J. Broome,Auburn,16.2,4,4,120.6,91.7
J. Williams,Auburn,12.6,4,4,120.6,91.7
C. Baker-Mazara,Auburn,10.3,4,4,120.6,91.7
D. Jones,Auburn,8.8,4,4,120.6,91.7
A. Holloway,Auburn,7.6,4,4,120.6,91.7
J. LeDee,SDSU,21.1,5,21,113.5,93.8
R. Waters,SDSU,10.1,5,21,113.5,93.8
M. Parrish,SDSU,9.6,5,21,113.5,93.8
L. Butler,SDSU,9.2,5,21,113.5,93.8
D. Trammell,SDSU,7.8,5,21,113.5,93.8
J. Robinson,BYU,13.8,6,16,120.5,99.5
F. Traore,BYU,10.9,6,16,120.5,99.5
T. Knell,BYU,10.9,6,16,120.5,99.5
S. Johnson,BYU,10.3,6,16,120.5,99.5
R. Saunders,BYU,9.8,6,16,120.5,99.5
I. Jones,WSU,15.4,7,42,113.4,97.2
M. Rice,WSU,15.1,7,42,113.4,97.2
J. Wells,WSU,12.2,7,42,113.4,97.2
A. Jakimovski,WSU,10,7,42,113.4,97.2
O. Cluff,WSU,7.3,7,42,113.4,97.2
J. Davis,FAU,18.2,8,41,119,102.7
V. Goldin,FAU,15.6,8,41,119,102.7
A. Martin,FAU,13.3,8,41,119,102.7
N. Boyd,FAU,9.5,8,41,119,102.7
B. Weatherspoon,FAU,7.1,8,41,119,102.7
B. Buie,Northwestern,19.2,9,46,116.7,100.8
B. Barnhizer,Northwestern,14.6,9,46,116.7,100.8
R. Langborg,Northwestern,12.2,9,46,116.7,100.8
T. Berry,Northwestern,11.6,9,46,116.7,100.8
N. Martinelli,Northwestern,9,9,46,116.7,100.8
T. DeVries,Drake,21.8,10,51,115.6,100.9
A. Wright,Drake,13.9,10,51,115.6,100.9
K. Overton,Drake,11.4,10,51,115.6,100.9
D. Brodie,Drake,11.3,10,51,115.6,100.9
C. Enright,Drake,7,10,51,115.6,100.9
